 Time (days),LWP,stom_conduct,rsoil,rplant
200.11,-.6009943,1.6678985,.0000000,873816064.0000000
200.12,-.5864679,1.6676899,.0000000,873816064.0000000
200.14,-.5731371,1.6670229,.0000000,873816064.0000000
200.15,-.5612518,1.6650031,.0000000,873816064.0000000
200.16,-.5501931,1.6654719,.0000000,873816064.0000000
200.17,-.5399020,1.6659360,.0000000,873816064.0000000
200.18,-.5306315,1.6650608,.0000000,873816064.0000000
200.19,-.5225627,1.6640533,.0000000,873816064.0000000
200.20,-.5153906,1.6644491,.0000000,873816064.0000000
200.21,-.5080700,1.6703119,.0000000,873816064.0000000
200.22,-.5037373,4.9019709,.0000000,873816064.0000000
200.23,-.4969992,1.6723258,.0000000,873816064.0000000
200.24,-.4983739,13.4742060,.0000000,873816064.0000000
200.25,-.4953076,12.0902414,.0000000,873816064.0000000
200.26,-.5081834,76.3175659,.0000000,873816064.0000000
200.27,-.5153583,57.0245018,.0000000,873816064.0000000
200.28,-.5265821,69.5695343,.0000000,873816064.0000000
200.29,-.5693008,131.8362122,.0000000,873816064.0000000
200.30,-.6106524,116.7371445,.0000000,873816064.0000000
200.31,-.7103328,204.1043243,.0000000,873816064.0000000
200.32,-.8612531,229.3408661,.0000000,873816064.0000000
200.33,-1.0581431,253.8044281,.0000000,873816064.0000000
200.34,-1.3095437,267.9273682,.0000000,873816064.0000000
200.35,-1.6221216,276.9172974,.0000000,873816064.0000000
200.36,-2.0017753,288.4063110,.0000000,873816064.0000000
200.38,-2.4605331,295.4346008,.0000000,873816064.0000000
200.39,-2.4957044,83.0561752,.0000000,873816064.0000000
200.40,-2.4948089,60.0556450,.0000000,873816064.0000000
200.41,-2.4945612,57.0149384,.0000000,873816064.0000000
200.42,-2.4944880,55.9310455,.0000000,873816064.0000000
200.43,-2.4939876,51.5842819,.0000000,873816064.0000000
200.44,-2.4939325,51.0143890,.0000000,873816064.0000000
200.45,-2.4935381,47.9811287,.0000000,873816064.0000000
200.46,-2.4931479,45.3782005,.0000000,873816064.0000000
200.47,-2.4931517,45.3793144,.0000000,873816064.0000000
200.48,-2.4932067,45.7949524,.0000000,873816064.0000000
200.49,-2.4935162,48.0796280,.0000000,873816064.0000000
200.50,-2.4933944,46.9445763,.0000000,873816064.0000000
200.51,-2.4934590,47.3572960,.0000000,873816064.0000000
200.52,-2.4932714,45.9418106,.0000000,873816064.0000000
200.53,-2.4927704,42.6495361,.0000000,873816064.0000000
200.54,-2.4928951,43.5100327,.0000000,873816064.0000000
200.55,-2.4931958,45.6024895,.0000000,873816064.0000000
200.56,-2.4928153,43.0613861,.0000000,873816064.0000000
200.57,-2.4932525,46.0471954,.0000000,873816064.0000000
200.58,-2.4933245,46.1729317,.0000000,873816064.0000000
200.59,-2.4935770,47.9645844,.0000000,873816064.0000000
200.60,-2.4936419,48.2859116,.0000000,873816064.0000000
200.61,-2.4934502,46.7777176,.0000000,873816064.0000000
200.62,-2.4936919,48.8526459,.0000000,873816064.0000000
200.64,-2.4937692,49.0421486,.0000000,873816064.0000000
200.65,-2.4935827,47.4376297,.0000000,873816064.0000000
200.66,-2.4935672,47.6116219,.0000000,873816064.0000000
200.67,-2.4938171,49.5644760,.0000000,873816064.0000000
200.68,-2.4938891,49.7902603,.0000000,873816064.0000000
200.69,-2.4938316,49.1676331,.0000000,873816064.0000000
200.70,-2.4935820,47.1711960,.0000000,873816064.0000000
200.71,-2.4935868,47.1122513,.0000000,873816064.0000000
200.72,-2.4938903,49.5965424,.0000000,873816064.0000000
200.73,-2.4939036,49.2131805,.0000000,873816064.0000000
200.74,-2.4936175,51.0699425,.0000000,873816064.0000000
200.75,-2.4913850,52.2691002,.0000000,873816064.0000000
200.76,-2.4872246,50.4636688,.0000000,873816064.0000000
200.77,-2.4794717,51.8563156,.0000000,873816064.0000000
200.78,-2.4954233,69.9534454,.0000000,873816064.0000000
200.79,-2.4957125,68.1437988,.0000000,873816064.0000000
200.80,-2.4277244,34.6824036,.0000000,873816064.0000000
200.81,-2.2915397,1.6773045,.0000000,873816064.0000000
200.82,-2.1644745,1.6791682,.0000000,873816064.0000000
200.83,-2.0458992,1.6810838,.0000000,873816064.0000000
200.84,-1.9352802,1.6825550,.0000000,873816064.0000000
200.85,-1.8320179,1.6837538,.0000000,873816064.0000000
200.86,-1.7356180,1.6854461,.0000000,873816064.0000000
200.88,-1.6456574,1.6869396,.0000000,873816064.0000000
200.89,-1.5616517,1.6886960,.0000000,873816064.0000000
200.90,-1.4831398,1.6907718,.0000000,873816064.0000000
200.91,-1.4097955,1.6925699,.0000000,873816064.0000000
200.92,-1.3412721,1.6938001,.0000000,873816064.0000000
200.93,-1.2772923,1.6949791,.0000000,873816064.0000000
200.94,-1.2176485,1.6955131,.0000000,873816064.0000000
200.95,-1.1620966,1.6956980,.0000000,873816064.0000000
200.96,-1.1103035,1.6963251,.0000000,873816064.0000000
200.97,-1.0619707,1.6975602,.0000000,873816064.0000000
200.98,-1.0168064,1.6988257,.0000000,873816064.0000000
200.99,-.9746413,1.6998299,.0000000,873816064.0000000
201.00,-.9353129,1.7005334,.0000000,873816064.0000000
201.01,-.8985593,1.7012151,.0000000,873816064.0000000
201.02,-.8642942,1.7010815,.0000000,873816064.0000000
201.03,-.8323960,1.7014061,.0000000,873816064.0000000
201.04,-.8026095,1.7016660,.0000000,873816064.0000000
201.05,-.7748867,1.7015637,.0000000,873816064.0000000
201.06,-.7490383,1.7018665,.0000000,873816064.0000000
201.07,-.7249923,1.7020919,.0000000,873816064.0000000
201.08,-.7026204,1.7016280,.0000000,873816064.0000000
201.09,-.6817587,1.7015778,.0000000,873816064.0000000
201.10,-.6621519,1.7030774,.0000000,873816064.0000000
201.11,-.6439742,1.7018026,.0000000,873816064.0000000
201.12,-.6269614,1.7025979,.0000000,873816064.0000000
201.14,-.6109011,1.7048781,.0000000,873816064.0000000
201.15,-.5957171,1.7069944,.0000000,873816064.0000000
201.16,-.5814541,1.7080221,.0000000,873816064.0000000
