 Time (days),soilR,soilR1,soilR2,CSR(1),CSR(2),CSR(3),CSR(4),CSR(5)
3.22,5635.5800781,Inf,Inf,28.0674553,28.0674553,28.0674553,28.0674553,28.0674553
3.23,5635.5805664,Inf,Inf,28.0675335,28.0675335,28.0675335,28.0675335,28.0675335
3.24,5635.5805664,Inf,Inf,28.0676155,28.0676155,28.0676155,28.0676155,28.0676155
3.25,5635.5805664,Inf,Inf,28.0676861,28.0676861,28.0676861,28.0676861,28.0676861
3.26,5635.5805664,Inf,Inf,28.0676861,28.0676861,28.0676861,28.0676861,28.0676861
3.27,5635.5805664,Inf,Inf,28.0676861,28.0676861,28.0676861,28.0676861,28.0676861
3.28,5635.5805664,Inf,Inf,28.0676861,28.0676861,28.0676861,28.0676861,28.0676861
3.29,5635.5805664,Inf,Inf,28.0677662,28.0677662,28.0677662,28.0677662,28.0677662
3.30,5635.5805664,Inf,Inf,28.0677662,28.0677662,28.0677662,28.0677662,28.0677662
3.31,5635.5805664,Inf,Inf,28.0677662,28.0677662,28.0677662,28.0677662,28.0677662
3.32,5635.5805664,Inf,Inf,28.0677662,28.0677662,28.0677662,28.0677662,28.0677662
3.33,5635.5805664,Inf,Inf,28.0677662,28.0677662,28.0677662,28.0677662,28.0677662
3.34,5635.5805664,Inf,Inf,28.0677700,28.0677700,28.0677700,28.0677700,28.0677700
3.35,5635.5805664,Inf,Inf,28.0677700,28.0677700,28.0677700,28.0677700,28.0677700
3.36,5635.5810547,Inf,Inf,28.0677700,28.0677700,28.0677700,28.0677700,28.0677700
3.38,5635.5810547,Inf,Inf,28.0677700,28.0677700,28.0677700,28.0677700,28.0677700
3.39,5635.5810547,Inf,Inf,28.0677719,28.0677719,28.0677719,28.0677719,28.0677719
3.40,5635.5810547,Inf,Inf,28.0677719,28.0677719,28.0677719,28.0677719,28.0677719
3.41,5635.5810547,Inf,Inf,28.0677719,28.0677719,28.0677719,28.0677719,28.0677719
3.42,5635.5810547,Inf,Inf,28.0677719,28.0677719,28.0677719,28.0677719,28.0677719
3.43,5635.5810547,Inf,Inf,28.0677757,28.0677757,28.0677757,28.0677757,28.0677757
3.44,5635.5810547,Inf,Inf,28.0677757,28.0677757,28.0677757,28.0677757,28.0677757
3.45,5635.5810547,Inf,Inf,28.0677757,28.0677757,28.0677757,28.0677757,28.0677757
3.46,5635.5810547,Inf,Inf,28.0677757,28.0677757,28.0677757,28.0677757,28.0677757
3.47,5635.5810547,Inf,Inf,28.0677757,28.0677757,28.0677757,28.0677757,28.0677757
3.48,5635.5810547,Inf,Inf,28.0677776,28.0677776,28.0677776,28.0677776,28.0677776
3.49,5635.5810547,Inf,Inf,28.0677776,28.0677776,28.0677776,28.0677776,28.0677776
3.50,5635.5810547,Inf,Inf,28.0677776,28.0677776,28.0677776,28.0677776,28.0677776
3.51,5635.5810547,Inf,Inf,28.0677814,28.0677814,28.0677814,28.0677814,28.0677814
3.52,5635.5810547,Inf,Inf,28.0677814,28.0677814,28.0677814,28.0677814,28.0677814
3.53,5635.5810547,Inf,Inf,28.0677834,28.0677834,28.0677834,28.0677834,28.0677834
3.54,5635.5810547,Inf,Inf,28.0677834,28.0677834,28.0677834,28.0677834,28.0677834
