"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.001622,3.165,101.94,-1.546,0.47
1.001109,1.277,92.43,-2.32,0.348
1.001431,1.727,102.55,-1.74,0.414
1.000638,1.687,91.53,-2.091,0.365
1.001771,1.616,67.57,-1.614,0.395
1.001182,3.475,91.62,-1.56,0.327
1.001739,1.758,96.49,-1.503,0.518
1.001465,2.54,95.06,-1.531,0.697
1.001127,1.655,71.17,-1.847,0.708
1.002167,1.523,101.82,-1.804,0.698
1.001228,2.1,81.11,-1.699,0.616
1.00157,2.569,97.16,-1.683,0.403
1.000538,2.072,82.68,-1.506,0.331
1.000652,2.241,104.25,-1.66,0.721
1.001165,1.284,79.45,-2.187,0.309
1.00104,1.536,68.32,-1.92,0.724
1.002181,1.633,37.42,-1.521,0.639
1.00061,3.268,103.58,-1.547,0.34
1.001414,2.099,92.19,-1.661,0.744
1.001232,2.656,96.48,-1.781,0.34
1.000756,3.203,104.28,-1.617,0.474
1.00193,1.419,87.6,-2.002,0.551
1.001664,2.243,87.13,-1.582,0.681
1.00077,1.719,37.87,-1.605,0.625
1.001196,2.15,77.79,-1.81,0.421
1.002129,1.416,68.5,-1.783,0.503
1.001021,1.393,95.39,-2.255,0.323
1.001054,1.649,77.91,-1.753,0.301
1.001123,1.254,73.88,-2.302,0.607
1.001371,2.388,90.5,-1.674,0.566
1.001305,1.353,96.11,-1.553,0.535
1.001226,2.376,85.39,-1.833,0.326
1.001967,1.709,66.93,-1.579,0.898
1.00065,1.344,86.84,-2.274,0.308
1.002278,1.607,84.39,-1.679,0.64
1.000605,1.792,80.36,-1.739,0.736
1.000611,1.451,89.72,-2.184,0.513
1.000822,1.758,55.22,-1.725,0.604
1.000876,1.276,87.85,-1.518,0.499
1.001693,1.299,52.95,-2.082,0.506
1.001126,3.115,80.18,-1.654,0.309
1.001557,1.959,61.89,-1.774,0.348
1.002112,1.734,86.24,-1.7,0.518
1.001115,1.495,85.04,-2.074,0.707
1.002118,1.585,72.67,-1.761,0.491
1.001845,1.616,78.78,-1.872,0.622
1.001357,2.227,85.69,-1.846,0.321
1.000886,3.403,79.37,-1.531,0.374
1.000857,1.439,54.51,-1.941,0.695
1.001688,2.215,95.93,-1.603,0.404
1.000657,1.64,41.35,-1.713,0.52
1.001313,2.016,66.87,-1.548,0.801
1.002117,1.653,50.93,-1.554,0.814
1.001195,2.133,79.41,-1.864,0.402
1.000969,2.118,91.71,-1.96,0.415
1.001129,2.127,70.61,-1.507,0.839
