time,defoliated,nondefoliated,oak
28685,8.46801396162475e-05,6.06414444037247e-05,0.000173813
28686,7.39139003061484e-05,6.21935605999587e-05,0.0001688309
28687,7.08633114604016e-05,5.59675025403858e-05,0.0001563099
28688,7.25964090208006e-05,5.59675025403858e-05,0.0001563099
28689,8.14773979640215e-05,6.22374831054872e-05,0.0001646636
28690,7.70408359935732e-05,6.01849993580168e-05,0.0001615807
28691,7.70408359935732e-05,6.01849993580168e-05,0.0001615807
28692,8.28712360910472e-05,6.22374831054872e-05,0.0001646636
28693,8.28712360910472e-05,6.22374831054872e-05,0.0001646636
28694,8.43734825838909e-05,6.22374831054872e-05,0.0001646636
28695,8.43734825838909e-05,6.22374831054872e-05,0.0001646636
28696,9.56645599317993e-05,6.97935695555654e-05,0.0001758141
28697,0.0001749472,0.0001496181,0.0003287758
28698,0.0001082042,7.99895332112934e-05,0.0001951638
28699,8.81755285026917e-05,6.03971094179058e-05,0.0001580206
28700,8.50812164053677e-05,6.03971094179058e-05,0.0001580206
28701,9.78745402461195e-05,6.97935695555654e-05,0.0001758141
28702,8.65834628982115e-05,6.03971094179058e-05,0.0001580206
28703,9.95444371205703e-05,6.97935695555654e-05,0.0001758141
28704,9.0016809301197e-05,6.03971094179058e-05,0.0001580206
28705,7.20600628561679e-05,2.9089567287622e-05,6.89185336371131e-05
28706,7.20600628561679e-05,1.31763005538879e-05,5.03537561754462e-05
28707,7.76550494269096e-05,1.31763005538879e-05,5.03537561754462e-05
28708,8.74113640775604e-05,5.65529864956105e-05,0.0001458136
28709,7.08182799133332e-05,3.93358378191227e-05,0.0001165303
28710,6.89892913588743e-05,4.09034230468338e-05,0.0001221887
28711,6.89892913588743e-05,4.09034230468338e-05,0.0001221887
28712,7.04451373149362e-05,4.09034230468338e-05,0.0001221887
28713,7.2274125869395e-05,4.09034230468338e-05,0.0001221887
28714,7.04451373149362e-05,5.20427097604477e-05,0.000135184
28715,9.95966642478942e-05,7.74504558929708e-05,0.0001949873
28716,9.50183424657684e-05,7.51948816423226e-05,0.0001915994
28717,0.00018287,0.0001655091,0.0003653138
28718,0.000197718,0.0001865932,0.0004059298
28719,0.0002234776,0.000215273,0.0004607188
28720,0.0001075528,0.0001080716,0.0002433484
28721,8.12654868968341e-05,7.94024301163731e-05,0.0001879353
28722,7.62084505848121e-05,7.28141896900424e-05,0.0001746859
28723,8.12654868968341e-05,7.94024301163731e-05,0.0001879353
28724,7.07095454071648e-05,7.09965620582813e-05,0.000168125
28725,7.00467844160338e-05,6.89676949787946e-05,0.0001650775
28726,7.58100976859097e-05,7.09965620582813e-05,0.000168125
28727,8.10647028439407e-05,7.7584802484612e-05,0.0001813743
28728,7.60677409558913e-05,7.09965620582813e-05,0.000168125
28729,0.0001139742,0.0001086049,0.0002403185
28730,0.0001049387,0.0001071367,0.0002362267
28731,0.0001039272,9.88752644817102e-05,0.0002259542
28732,0.0001346154,0.0001347623,0.0003017789
28733,0.000127689,0.000132324,0.0002981164
28734,0.0002004203,0.0001978506,0.0004232972
28735,9.17682609661857e-05,8.34188815870008e-05,0.0002042848
28736,8.199812450955e-05,7.37920654814412e-05,0.000186019
28737,8.74306083304184e-05,8.1269178508132e-05,0.0002010559
28738,0.0001117572,0.0001024613,0.0002414321
28739,8.55257089314577e-05,7.37920654814412e-05,0.000186019
28740,8.56231412672401e-05,7.37920654814412e-05,0.000186019
28741,8.96250580241173e-05,7.37920654814412e-05,0.000186019
28742,9.87210826374546e-05,7.52228896080286e-05,0.0001933758
28743,0.0001007876,8.3622228134541e-05,0.0002139632
28744,0.0001107518,8.3658189054015e-05,0.000209817
28745,0.0001056948,7.70699486276843e-05,0.0001965677
28746,0.0001107518,8.3658189054015e-05,0.000209817
28747,0.0001075238,7.70699486276843e-05,0.0001965677
28748,0.0001056948,6.81870829161764e-05,0.0001808784
28749,0.0001099512,6.81870829161764e-05,0.0001808784
28750,0.0001075238,4.50421037484039e-05,0.0001138681
28751,0.0001078164,4.82643166390583e-05,0.0001176272
28752,0.0001091583,4.82643166390583e-05,0.0001176272
28753,0.0001473908,8.40290747983458e-05,0.00018767
28754,0.0001631648,0.0001170049,0.0002826981
28755,0.0001217799,7.4544376746292e-05,0.0002008934
28756,0.0001016962,6.89183661452085e-05,0.000186636
28757,0.0001016962,6.75397107882427e-05,0.0001850276
28758,9.9867210757264e-05,5.98620868139201e-05,0.0001659093
28759,0.0001296493,8.17216150246384e-05,0.0002109088
28760,0.0001183948,5.37044845795404e-05,0.00012103
28761,0.0001207214,5.59697557882829e-05,0.0001236727
28762,0.0001241938,4.92304641288234e-05,0.0001104842
28763,0.0001166606,4.9613230169952e-05,0.0001102502
28764,0.0001522747,2.93251109620572e-05,4.89241595981696e-05
28765,0.0001578454,2.70913405538328e-05,5.11336492042046e-05
28766,0.0001488041,2.70913405538328e-05,5.11336492042046e-05
28767,0.0001392346,1.51389093584527e-05,3.03008845632121e-05
28768,0.0001418879,1.51389093584527e-05,3.03008845632121e-05
28769,0.0001418879,1.51389093584527e-05,3.03008845632121e-05
28770,0.0001333981,1.43981894830472e-05,3.49076424023852e-05
28771,0.000132525,1.17645358634921e-05,3.18351624285213e-05
28772,0.0001024067,3.93496946804431e-05,0.0001013354
28773,0.0001243468,9.79502821068375e-06,2.9537490184649e-05
28774,0.0001021365,3.77597998757517e-05,0.0001032405
28775,9.82259217274644e-05,5.89341122562172e-05,0.0001376338
28776,0.0001163656,4.14748698690226e-05,9.18507532246731e-05
28777,9.35946653348304e-05,6.21361723014162e-05,0.0001508298
28778,9.45526208388174e-05,4.9056196708987e-05,0.0001355704
28779,0.0001133019,4.45220919563888e-05,0.0001028501
28780,9.15522236086797e-05,6.21361723014162e-05,0.0001508298
28781,0.0001079416,4.45220919563888e-05,0.0001028501
28782,0.0001101194,3.30333498037615e-05,8.25582959546837e-05
28783,0.0001030049,3.30333498037615e-05,8.25582959546837e-05
28784,0.0001050024,1.71200830700274e-05,6.39935184930168e-05
28785,0.0001050024,1.71200830700274e-05,6.39935184930168e-05
28786,0.0001071802,1.71200830700274e-05,6.39935184930168e-05
28787,0.0001081849,1.71200830700274e-05,6.39935184930168e-05
28788,0.0001126855,1.90895907228358e-05,6.62911907368891e-05
